id,name_cz,name_en,map_code
1,Jihočeský kraj,South Bohemian Region,CZ-JC
2,Jihomoravský kraj,South Moravia Region,CZ-JM
3,Karlovarský kraj,Karlovy Vary Region,CZ-KA
4,Královéhradecký kraj,Hradec Kralove Region,CZ-KR
5,Liberecký kraj,Liberec Region,CZ-LI
6,Moravskoslezký kraj,Moravian-Silesian Region,CZ-MO
7,Olomoucký kraj,Olomouc Region,CZ-OL
8,Pardubický kraj,Pardubice Region,CZ-PA
9,Plzeňský kraj,Pilsen Region,CZ-PL
10,Středočeský kraj,Central Bohemia Region,CZ-ST
11,Ústecký kraj,Usti Region,CZ-US
12,Kraj Vysočina,Vysocina Region,CZ-VY
13,Zlínský kraj,Zlin Region,CZ-ZL
14,Hlavní město Praha,City of Prague,CZ-PR
